subject,model_id,delta_log_evidence_vs_glm,log_evidence,model
DAP007,glm_shallow_zero_mean,0.0,-7299.669735951873,GLM (shallow)
DAP009,glm_shallow_zero_mean,0.0,-2538.931467548846,GLM (shallow)
DAP011,glm_shallow_zero_mean,0.0,-3031.7773850450103,GLM (shallow)
DAP013,glm_shallow_zero_mean,0.0,-2393.2123083557744,GLM (shallow)
DAP014,glm_shallow_zero_mean,0.0,-1541.2815432183888,GLM (shallow)
DAP015,glm_shallow_zero_mean,0.0,-3418.8138573452343,GLM (shallow)
DAP017,glm_shallow_zero_mean,0.0,-3141.4177987842486,GLM (shallow)
DAP022,glm_shallow_zero_mean,0.0,-3403.6871194175183,GLM (shallow)
DAP023,glm_shallow_zero_mean,0.0,-2772.1910256544907,GLM (shallow)
DAP024,glm_shallow_zero_mean,0.0,-4570.423091078672,GLM (shallow)
DAP027,glm_shallow_zero_mean,0.0,-1482.0854984023808,GLM (shallow)
DAP028,glm_shallow_zero_mean,0.0,-3526.926341921302,GLM (shallow)
DAP033,glm_shallow_zero_mean,0.0,-1227.9319414926176,GLM (shallow)
DAP039,glm_shallow_zero_mean,0.0,-1801.8552067130113,GLM (shallow)
DAP044,glm_shallow_zero_mean,0.0,-151.65998543633486,GLM (shallow)
DAP046,glm_shallow_zero_mean,0.0,-3370.8047353669535,GLM (shallow)
DAP048,glm_shallow_zero_mean,0.0,-1333.4922562146348,GLM (shallow)
DAP050,glm_shallow_zero_mean,0.0,-4491.264815313829,GLM (shallow)
DAP051,glm_shallow_zero_mean,0.0,-3331.3156333093575,GLM (shallow)
DAP110,glm_shallow_zero_mean,0.0,-1301.6546970666386,GLM (shallow)
DAP156,glm_shallow_zero_mean,0.0,-3436.386528366209,GLM (shallow)
DAP007,glm_shallow_reinforce,-1.3460410890941437e-06,-7299.685912673682,GLM (shallow) + R
DAP009,glm_shallow_reinforce,9.31329830212327e-05,-2538.476512926787,GLM (shallow) + R
DAP011,glm_shallow_reinforce,0.00010412606910625037,-3031.213750632938,GLM (shallow) + R
DAP013,glm_shallow_reinforce,-2.3417067175486043e-06,-2393.222642307519,GLM (shallow) + R
DAP014,glm_shallow_reinforce,0.0002812655063690709,-1540.377837146425,GLM (shallow) + R
DAP015,glm_shallow_reinforce,-1.0789518141367182e-06,-3418.820319187649,GLM (shallow) + R
DAP017,glm_shallow_reinforce,-1.7688479884556969e-06,-3141.426780994334,GLM (shallow) + R
DAP022,glm_shallow_reinforce,-1.935903757393005e-06,-3403.6997957153217,GLM (shallow) + R
DAP023,glm_shallow_reinforce,7.00292296758264e-05,-2771.8471121075527,GLM (shallow) + R
DAP024,glm_shallow_reinforce,-1.0901414520196006e-05,-4570.527766460895,GLM (shallow) + R
DAP027,glm_shallow_reinforce,-2.6392194956256153e-06,-1482.0952450399782,GLM (shallow) + R
DAP028,glm_shallow_reinforce,1.1109322820181783e-05,-3526.83293473503,GLM (shallow) + R
DAP033,glm_shallow_reinforce,6.503890997063508e-07,-1227.929327578826,GLM (shallow) + R
DAP039,glm_shallow_reinforce,2.454581882662408e-06,-1801.8474453250983,GLM (shallow) + R
DAP044,glm_shallow_reinforce,0.0007188043848304411,-151.36743205170887,GLM (shallow) + R
DAP046,glm_shallow_reinforce,3.7821627054247614e-07,-3370.8017867929084,GLM (shallow) + R
DAP048,glm_shallow_reinforce,2.009143646185033e-05,-1333.4404203085633,GLM (shallow) + R
DAP050,glm_shallow_reinforce,-1.8491180516977925e-06,-4491.279928155665,GLM (shallow) + R
DAP051,glm_shallow_reinforce,-8.932463203757213e-07,-3331.321144639154,GLM (shallow) + R
DAP110,glm_shallow_reinforce,-1.4760183839973798e-06,-1301.6585096221245,GLM (shallow) + R
DAP156,glm_shallow_reinforce,-1.0642481141922244e-05,-3436.454331613564,GLM (shallow) + R
DAP007,deep_zero_mean,-1.784767696188259,-28749.00790874237,"Deep, 0-mean"
DAP009,deep_zero_mean,0.11447578088205147,-1979.7172779400244,"Deep, 0-mean"
DAP011,deep_zero_mean,0.3349004877855211,-1218.9610446619845,"Deep, 0-mean"
DAP013,deep_zero_mean,0.11402512140741845,-1890.0194475848368,"Deep, 0-mean"
DAP014,deep_zero_mean,-0.15275666456439055,-2032.0887064637757,"Deep, 0-mean"
DAP015,deep_zero_mean,0.3623446940780631,-1248.7314845117144,"Deep, 0-mean"
DAP017,deep_zero_mean,0.3751000919535358,-1236.659531844194,"Deep, 0-mean"
DAP022,deep_zero_mean,0.32295387844469026,-1288.9851233616864,"Deep, 0-mean"
DAP023,deep_zero_mean,0.2413702663423844,-1586.821647647041,"Deep, 0-mean"
DAP024,deep_zero_mean,-0.5619920643508424,-9966.67089297546,"Deep, 0-mean"
DAP027,deep_zero_mean,-0.07263427615454465,-1750.3238802411142,"Deep, 0-mean"
DAP028,deep_zero_mean,0.16091293334167797,-2173.970398384474,"Deep, 0-mean"
DAP033,deep_zero_mean,-0.08909424411417387,-1586.0017085874824,"Deep, 0-mean"
DAP039,deep_zero_mean,-0.04339569825030816,-1939.0724045804857,"Deep, 0-mean"
DAP044,deep_zero_mean,-0.07512949634160387,-182.23769044736764,"Deep, 0-mean"
DAP046,deep_zero_mean,-0.0025585692516467322,-3390.7513412527915,"Deep, 0-mean"
DAP048,deep_zero_mean,-0.11646141448364615,-1633.962705582442,"Deep, 0-mean"
DAP050,deep_zero_mean,-0.007649386480505249,-4553.783251018998,"Deep, 0-mean"
DAP051,deep_zero_mean,0.2756094482801453,-1630.8053374208612,"Deep, 0-mean"
DAP110,deep_zero_mean,-0.13831514038513035,-1658.9227046814303,"Deep, 0-mean"
DAP156,deep_zero_mean,0.16036947980315958,-2414.6725725402794,"Deep, 0-mean"
DAP007,deep_te_rule,-0.8750555406123921,-17816.0872230316,Deep + TE rule
DAP009,deep_te_rule,-0.05931918617042763,-2828.705691991385,Deep + TE rule
