mouse,n_trials,dopamine_valid,status,log_evidence,time_min,precision,hess_calc,sig_i,sig_DA,da_beta,da_offset,error
DAP007,12018,12018,ok,-7039.4273,2.46,float64,weights,0.0099,0.2457,1.807,0.0007,
DAP009,4885,4885,ok,-1095.6441,2.02,float64,weights,0.0078,0.2623,1.0032,0.0009,
DAP011,5413,5413,ok,-4838.6179,2.69,float64,weights,0.0038,0.3311,1.0896,0.0009,
DAP013,4413,4413,ok,-2252.9625,1.78,float64,weights,0.0103,0.2269,1.4303,0.0006,
DAP014,3213,3213,ok,-1247.7467,1.32,float64,weights,0.007,0.2301,1.355,0.0008,
DAP015,5989,5989,ok,-2027.3278,3.38,float64,weights,0.1085,0.2334,0.2528,0.0005,
DAP017,5078,5078,ok,-2707.4185,2.35,float64,weights,0.011,0.2207,1.0873,0.0586,
DAP022,6548,6548,ok,-2316.6739,3.77,float64,weights,0.0089,0.2316,1.0187,0.0006,
DAP023,4911,4911,ok,-2133.3156,1.63,float64,weights,0.0078,0.2376,1.5699,0.0007,
DAP024,9602,9602,ok,-4813.2828,1.87,float64,weights,0.0086,0.2628,2.2581,0.0009,
DAP027,3693,3693,ok,-1432.3279,1.75,float64,weights,0.0078,0.2321,0.7446,0.0005,
DAP028,8408,8408,ok,-1900.9495,2.99,float64,weights,0.0044,0.2777,1.344,0.0004,
DAP033,4019,4019,ok,266.6129,2.92,float64,weights,0.0083,0.1789,0.8474,0.0003,
DAP039,3162,3162,ok,-1569.1721,2.65,float64,weights,0.0051,0.2197,0.5833,0.0008,
DAP044,407,407,ok,-145.7707,0.72,float64,weights,0.0892,0.2459,0.367,0.0011,
DAP046,7796,7796,ok,-2703.4875,4.36,float64,weights,0.0062,0.2345,0.5061,0.2251,
DAP048,2580,2580,ok,-2943.3526,1.33,float64,weights,0.0082,0.3895,2.0737,0.0002,
DAP050,8173,8173,ok,-7613.3400,3.56,float64,weights,0.018,0.3677,1.8693,0.0001,
DAP051,6170,6170,ok,873.9346,1.97,float64,weights,0.0097,0.1774,1.6909,0.0007,
DAP110,2583,2583,ok,-172.7838,1.03,float64,weights,0.0098,0.1569,1.718,0.0008,
DAP156,6371,6371,ok,-2970.9849,2.60,float64,weights,0.0059,0.2665,1.5675,0.0011,
